"6";"Boat";"First1";"Augmented";"None";;"133939";"8695";"3492";"15320";"12931";"19741";"2752";"4930";"12650";"13140";"5761";"8761";"9950";"5342";"6222";"4150";"2019-03-01 13:08:13"
"6";"Boat";"Second1";"Augmented";"None";;"120330";"13181";"4381";"10612";"10292";"10115";"1600";"5175";"14062";"8452";"4121";"6491";"5582";"17670";"5490";"3011";"2019-03-01 13:10:24"
"6";"Boat";"Third1";"Augmented";"None";;"103940";"6560";"1961";"10102";"11780";"7900";"2201";"6201";"3961";"15700";"3901";"9530";"4200";"13560";"5273";"1030";"2019-03-01 13:12:44"
"6";"Boat";"Test1";"Augmented";"None";;"76682";"76682";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-03-01 13:14:23"
"6";"Boat";"Test2";"Augmented";"None";;"70221";"70212";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-03-01 13:21:19"
"6";"Swan";"First2";"Normal";"None";;"127561";"2351";"24651";"5391";"26383";"18672";"9940";"5122";"16251";"7620";"11121";"0";"0";"0";"0";"0";"2019-03-01 13:24:10"
"6";"Swan";"Second2";"Normal";"None";;"99652";"2672";"20710";"4020";"23740";"15151";"6152";"3781";"5601";"12991";"4762";"0";"0";"0";"0";"0";"2019-03-01 13:26:13"
"6";"Swan";"Third2";"Normal";"None";;"100852";"1412";"19271";"4481";"28940";"11891";"9080";"6561";"5931";"6241";"7000";"0";"0";"0";"0";"0";"2019-03-01 13:28:15"
"6";"Swan";"Test1";"Normal";"None";;"80671";"80671";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-03-01 13:29:58"
"6";"Swan";"Test2";"Normal";"None";;"59971";"59971";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-03-01 13:36:26"
"7";"Swan";"First1";"Augmented";"None";;"343947";"2413";"67392";"8581";"152374";"29331";"10661";"10474";"18000";"8891";"35753";"0";"0";"0";"0";"0";"2019-03-01 14:35:39"
"7";"Swan";"Second1";"Augmented";"None";;"176044";"2401";"36742";"3241";"60914";"17653";"12551";"3051";"19961";"11871";"7590";"0";"0";"0";"0";"0";"2019-03-01 14:38:53"
"7";"Swan";"Third1";"Augmented";"None";;"143663";"2061";"59522";"6281";"31891";"8552";"10032";"5661";"7091";"10420";"2093";"0";"0";"0";"0";"0";"2019-03-01 14:41:35"
