id,origami_type,task_type,method_type,incomplete_input,skipped_steps,total_time,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,date_time
6,Boat,Second1,Augmented,None,,120.33,13.181,4.381,10.612,10.292,10.115,1.6,5.175,14.062,8.452,4.121,6.491,5.582,17.67,5.49,3.011,3/1/2019 13:10
6,Boat,Third1,Augmented,None,,103.94,6.56,1.961,10.102,11.78,7.9,2.201,6.201,3.961,15.7,3.901,9.53,4.2,13.56,5.273,1.03,3/1/2019 13:12
6,Boat,Test1,Augmented,None,,76.682,76.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 13:14
6,Boat,Test2,Augmented,None,,70.221,70.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 13:21
6,Swan,First2,Normal,None,,127.561,2.351,24.651,5.391,26.383,18.672,9.94,5.122,16.251,7.62,11.121,0,0,0,0,0,3/1/2019 13:24
6,Swan,Second2,Normal,None,,99.652,2.672,20.71,4.02,23.74,15.151,6.152,3.781,5.601,12.991,4.762,0,0,0,0,0,3/1/2019 13:26
6,Swan,Third2,Normal,None,,100.852,1.412,19.271,4.481,28.94,11.891,9.08,6.561,5.931,6.241,7,0,0,0,0,0,3/1/2019 13:28
6,Swan,Test1,Normal,None,,80.671,80.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 13:29
6,Swan,Test2,Normal,None,,59.971,59.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 13:36
7,Swan,First1,Augmented,None,,343.947,2.413,67.392,8.581,152.374,29.331,10.661,10.474,18,8.891,35.753,0,0,0,0,0,3/1/2019 14:35
7,Swan,Second1,Augmented,None,,176.044,2.401,36.742,3.241,60.914,17.653,12.551,3.051,19.961,11.871,7.59,0,0,0,0,0,3/1/2019 14:38
7,Swan,Third1,Augmented,None,,143.663,2.061,59.522,6.281,31.891,8.552,10.032,5.661,7.091,10.42,2.093,0,0,0,0,0,3/1/2019 14:41
7,Swan,Test1,Augmented,None,,166.446,166.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 14:44
7,Swan,Test2,Augmented,None,,183.054,183.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 14:53
7,Boat,First2,Normal,None,,235.372,1.683,19.43,46.822,22.491,15.81,2.511,17.712,16.533,17.542,7.351,6.329,4.901,30.828,23.011,2.313,3/1/2019 14:57
7,Boat,Second2,Normal,None,,129.004,8.983,4.37,20.341,15.411,6.55,1.291,14.402,4.921,11.651,2.13,10.932,1.833,7.102,4.87,14.11,3/1/2019 15:00
7,Boat,Third2,Normal,None,,148.903,16.28,5.052,18.44,25.181,8.492,2.761,5.181,10.321,9.965,2.021,11.67,2.921,4.871,8.68,16.981,3/1/2019 15:03
7,Boat,Test1,Normal,None,,106.062,106.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 15:05
7,Boat,Test2,Normal,None,,126.963,126.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 15:12
8,Boat,First1,Normal,None,,338.11,6.051,3.681,13.461,23.861,26.231,3.63,11.191,52.622,33.812,5.58,23.521,61.002,51.741,6.111,15.491,3/1/2019 16:00
8,Boat,Second1,Normal,None,,263.486,5.361,3.141,18.1,22.441,13.192,3.14,6.921,25.861,15.52,4.661,18.631,68.972,44.721,7.541,5.19,3/1/2019 16:05
8,Boat,Third1,Normal,None,,231.156,4.791,3.651,16.642,17.361,9.782,1.922,4.15,33.122,17.502,2.631,12.511,73.394,22.132,5.38,6.091,3/1/2019 16:09
8,Boat,Test1,Normal,None,,154.244,154.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 16:12
8,Boat,Test2,Normal,None,,98.343,98.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 16:21
8,Swan,First2,Augmented,None,,126.534,3.755,20.501,8.012,19.982,17.581,8.931,5.61,11.672,20.343,10.083,0,0,0,0,0,3/1/2019 16:24
8,Swan,Second2,Augmented,None,,124.245,3.571,17.712,6.761,27.901,17.351,5.12,9.413,10.744,13.03,12.594,0,0,0,0,0,3/1/2019 16:26
8,Swan,Third2,Augmented,None,,90.302,1.533,14.751,7.051,20.501,10.861,4.641,8.004,9.132,13.351,0.421,0,0,0,0,0,3/1/2019 16:28
8,Swan,Test1,Augmented,None,,63.872,63.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 16:30
8,Swan,Test2,Augmented,None,,61.802,61.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2019 16:37
9,Swan,First1,Normal,None,,123.168,1.325,25.71,4.25,6.597,13.199,8.96,3.933,7.889,23.655,15.593,0,0,0,0,0,3/5/2019 14:13
9,Swan,Second1,Normal,None,,110.016,1.952,27.009,2.537,30.93,17.313,6.573,4.196,10.301,3.689,5.474,0,0,0,0,0,3/5/2019 14:16
9,Swan,Third1,Normal,None,,60.746,2.142,18.571,1.746,13.199,7.274,2.324,2.527,7.305,3.8,1.819,0,0,0,0,0,3/5/2019 14:17
9,Swan,Test1,Normal,None,,47.608,47.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2019 14:28
9,Boat,Second2,Augmented,None,,108.845,8.78,2.157,12.694,18.11,13.835,0.541,2.932,7.562,8.703,2.823,3.278,13.261,11.423,1.17,1.506,3/5/2019 14:36
9,Boat,Third2,Augmented,None,,80.606,7.597,1.804,6.492,10.866,6.61,1.164,4.278,11.796,5.868,1.109,5.324,4.263,5.085,3.973,4.315,3/5/2019 14:37
9,Boat,Test1,Augmented,None,,69.019,69.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2019 14:47
10,Boat,First1,Augmented,None,,119.351,8.801,1.6,14.641,7.392,8.853,1.925,2.442,9.33,5.053,2.976,7.741,6.19,8.453,3.958,29.905,3/5/2019 15:39
10,Boat,Second1,Augmented,None,,113.998,7.896,1.952,8.867,10.501,9.62,1.991,4.572,13.527,6.383,3.11,12.001,4.256,19.444,3.361,6.421,3/5/2019 15:41
10,Boat,Third1,Augmented,None,,84.888,7.799,1.49,8.541,10.011,11.803,1.83,1.324,8.746,10.695,1.378,7.773,3.506,6.128,2.571,1.217,3/5/2019 15:43
10,Boat,Test1,Augmented,None,,69.667,69.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2019 15:56
10,Swan,First2,Normal,None,,115.305,3.871,23.349,7.421,17.537,15.936,7.688,7.304,6.85,12.283,13.021,0,0,0,0,0,3/5/2019 15:58
10,Swan,Second2,Normal,None,,85.627,1.312,21.076,5.609,16.677,10.73,4.489,3.533,10.554,9.258,2.362,0,0,0,0,0,3/5/2019 16:00
10,Swan,Third2,Normal,None,,73.997,1.557,17.489,5.245,14.034,10.794,4.591,6.705,4.088,7.273,2.173,0,0,0,0,0,3/5/2019 16:03
10,Swan,Test1,Normal,None,,78.374,78.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2019 16:13
11,Swan,First1,Augmented,None,,119.135,10.115,21.748,4.087,24.073,17.69,6.62,6.959,10.748,10.756,6.29,0,0,0,0,0,3/7/2019 14:07
11,Swan,Second1,Augmented,None,,77.379,2.693,10.657,5.562,19.122,11.19,5.884,4.709,5.072,7.176,2.883,0,0,0,0,0,3/7/2019 14:08
11,Swan,Third1,Augmented,None,,73.151,2.466,9.608,4.786,11.587,4.95,12.069,4.704,8.228,10.133,2.848,0,0,0,0,0,3/7/2019 14:10
11,Swan,Test1,Augmented,None,,49.677,49.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/7/2019 14:21
11,Boat,First2,Normal,finishedStep12,,174.735,8.317,3.687,10.905,32.73,5.758,3.403,3.875,6.98,11.763,7.968,3.247,0,0,0,0,3/7/2019 14:25
11,Boat,Second2,Normal,None,,137.522,6.899,2.867,7.696,12.089,8.555,1.985,5.261,16.728,10.141,1.868,4.807,23.942,19.88,4.768,9.955,3/7/2019 14:27
11,Boat,Third2,Normal,None,,119.65,3.758,4.076,7.22,12.626,7.256,3.202,6.108,10.989,7.347,12.153,4.371,4.058,11.057,16.897,8.449,3/7/2019 14:30
11,Boat,Test1,Normal,None,,73.725,73.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/7/2019 14:41
12,Boat,First1,Normal,None,,225.971,10.672,3.34,9.12,18.589,23.429,4.332,6.331,40.02,24.989,5.26,7.48,8.56,38.861,19.399,5.501,4/5/2019 9:04
12,Boat,Third1,Normal,None,,143.475,11.022,2.7,16.32,19.9,9.77,2.141,11.09,11.19,18.69,3.043,6.171,3.071,7.88,7.42,12.991,4/5/2019 9:07
12,Boat,Third1,Normal,None,,122.294,9.41,2.22,10.78,16.219,9.571,1.391,8.214,13.241,8.831,11.351,1.781,7.241,9.051,6.222,6.671,4/5/2019 9:10
12,Boat,Test1,Normal,None,,150.184,150.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 9:19
12,Swan,First2,Augmented,None,,188.101,4.131,67.967,3.35,39.418,16.93,13.44,1.07,23.97,5.161,12.6,0,0,0,0,0,4/5/2019 9:23
12,Swan,Second2,Augmented,None,,113.315,3.282,28.099,2.332,36.069,12.171,7.6,2.241,10.563,5.691,5.23,0,0,0,0,0,4/5/2019 9:25
12,Swan,Third2,Augmented,None,,111.905,8.79,29.849,2.73,31.219,10.151,3.801,2.331,8.28,7.911,6.78,0,0,0,0,0,4/5/2019 9:27
12,Swan,Test1,Augmented,None,,112.291,112.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 9:36
13,Swan,First1,Normal,finishedStep9,9 and 10,117.309,1.761,14.69,15.34,1.81,15.74,11.162,18.83,1.531,15.961,0,0,0,0,0,0,4/5/2019 10:31
13,Swan,Second1,Normal,None,,120.358,3.443,29.262,4.692,23.431,16.151,8.272,17.47,1.301,7.19,9.08,0,0,0,0,0,4/5/2019 10:34
13,Swan,Third1,Normal,None,,76.51,2.231,16.591,16.77,1.99,10.841,6.02,2.19,7.08,8.501,4.254,0,0,0,0,0,4/5/2019 10:35
13,Swan,Test1,Normal,finishedStep7,10-Aug,79.589,79.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 10:46
13,Boat,First2,Augmented,finishedStep8,15-Aug,190.79,8.442,4.711,11.27,52,30.15,2.291,4.03,5.51,0,0,0,0,0,0,0,4/5/2019 10:50
13,Boat,Second2,Augmented,finishedStep12,15-Dec,163.988,20.102,2.761,9.26,20.57,6.664,1.511,3.93,7.901,24.16,1.941,2.19,0,0,0,0,4/5/2019 10:53
13,Boat,Third2,Augmented,None,,162.555,10.981,3.451,5.54,15.27,6.47,1.241,5.11,4.662,11.99,0.78,1.941,7.54,55.765,22.942,8.791,4/5/2019 10:56
13,Boat,Test1,Augmented,None,,172.188,172.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 11:09
14,Boat,First1,Augmented,finishedStep5,,132.586,14.455,2.041,10.948,62.204,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 15:07
14,Boat,Second1,Augmented,finishedStep9,,184.603,13.597,3.897,24.139,50.815,14.369,1.064,4.597,17.255,0,0,0,0,0,0,0,4/5/2019 15:12
14,Boat,Third1,Augmented,finishedStep13,,254.012,10.19,4.57,5.836,52.764,9.276,0.518,5.318,14.243,25.603,1.735,11.699,9.215,0,0,0,4/5/2019 15:17
14,Boat,Test1,Augmented,None,,273.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 15:30
14,Swan,First2,Normal,finishedStep8,,179.502,2.685,57.544,14.479,12.597,26.096,34.523,1.115,0,0,0,0,0,0,0,0,4/5/2019 15:37
14,Swan,Second2,Normal,finishedStep5,,223.008,2.29,115.031,5.981,50.281,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 15:41
14,Swan,Third2,Normal,finishedStep6,,135.017,1.799,17.064,1.309,15.888,52.791,0,0,0,0,0,0,0,0,0,0,4/5/2019 15:47
14,Swan,Test1,Normal,finishedStep4,3,86.111,86.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 15:56
15,Swan,First1,Augmented,None,,179.044,15.153,49.158,4.596,33.419,23.974,8.159,1.772,10.394,13.52,11.04,0,0,0,0,0,4/5/2019 16:37
15,Swan,Second1,Augmented,finishedStep9,,87.121,3.513,22.191,2.424,12.376,9.635,3.623,2.945,4.638,0,0,0,0,0,0,0,4/5/2019 16:39
15,Swan,Third1,Augmented,None,,96.624,2.329,31.947,1.14,14.483,8.72,9.447,12.896,2.494,3.575,9.55,0,0,0,0,0,4/5/2019 16:41
15,Swan,Test1,Augmented,None,,108.327,108.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2019 16:51
15,Boat,First2,Normal,None,,160.076,12.729,0.831,7.435,37.387,61.717,1.924,16.513,10.492,7.761,0.606,0,0,0,0,0,4/5/2019 16:55
15,Boat,Second2,Normal,None,,108.162,11.058,0.697,7.245,28.651,7.723,5.176,4.956,15.124,7.01,2.698,2.947,7.593,0.716,5.988,0.49,4/5/2019 16:57
15,Boat,Third2,Normal,None,,71.564,1.547,7.919,3.216,5.007,11.275,4.635,1.874,5.502,7.631,3.719,7.264,1.916,3.097,5.378,1.515,4/5/2019 16:59
